event_name,page_url,header,agent,region,time,date,anonymous_id,itinerary_id,mongo_id,user_id
Page Viewed,https://pickyourtrail.com/packages/bali?m=pl-gcm&itineraryId=62762b2ccd57c70001237e25&n=8&rc=idn&name=Beautiful+8+Nights+Bali+Trip+Package+From+India&rn=Bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:55 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
Page Viewed,https://pickyourtrail.com/packages/bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:54 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
Page Viewed,https://pickyourtrail.com/us/packages/5-night-comfortable-dubai-getaway,pickyourtrail,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1 (compatible; AdsBot-Google-Mobile; +http://www.google.com/mobile/adsbot.html)",,5:59:50 AM,23/03/23,5c03c839-2416-4eeb-a6c7-c0209d275be5,,,
Packages_Flow_Initiated,,,,,5:59:49 AM,23/03/23,b60e9597-9d60-4dfd-8a90-798f26e244d8,,641b9cb95c89210001c1cf61,
Page Viewed,https://pickyourtrail.com/packages/bali?m=pl-gcm&itineraryId=625fc7c19b4efe000152fa72&n=3&rc=idn&name=Bali+Tour+Package+4+Days+3+Nights&rn=Bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:48 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
vacation card selected,https://pickyourtrail.com/packages/bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:48 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
Page Viewed,https://pickyourtrail.com/packages/europe?utm_source=google&utm_medium=cpc&utm_campaign=Google_Performance_Max_Bali&utm_keyword=&utm_content=19660348044&utm_feeditemid=&utm_targetid=&utm_creative=&utm_adposition=&gclid=CjwKCAjwzuqgBhAcEiwAdj5dRjoAOULcP9mXuOQSNCl-evhZkb4PrBIwKnOcjQyGMmye6Ghe8ngGlRoCmtsQAvD_BwE,Europe Tour Packages | Europe Trip Packages From India,"Mozilla/5.0 (Linux; Android 9; RMX1831) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",,5:59:45 AM,23/03/23,5eee56bf-58a9-4880-b4b7-ea83cf1d8275,,,
Page Viewed,https://pickyourtrail.com/packages/bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:39 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
Page Viewed,https://pickyourtrail.com/packages/bali?m=pl-gcm&itineraryId=62762b2ccd57c70001237e25&n=8&rc=idn&name=Beautiful+8+Nights+Bali+Trip+Package+From+India&rn=Bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:35 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
vacation card selected,https://pickyourtrail.com/packages/bali,Bali Tour Packages | Book Bali Packages at Best Price,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",,5:59:34 AM,23/03/23,b36fbb92-60ec-4a2b-a11c-dd12683ce38a,,,
